"industry","country","gender","race","age","education","prof_exp","field_exp","usd_total_comp","age_mid","age_scale","prof_exp_mid","field_exp_mid","edu_num","edu_scale","wht_notwht","wom_notwom","usa","ind_dom"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",97,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Professional degree","10-","10-",89.2,40,"Middle",5,5,6,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Man","White","25-34","Master's degree","10-","10-",81.488,30,"Young",5,5,4,"High","White","Not Woman","USA","Woman"
"Social Work","usa","Woman","White","45-54","Master's degree","21-30","11-20",67,50,"Old",25,15,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","25-34","College degree","10-","10-",124.32,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Master's degree","10-","10-",85.3,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",49,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Government and Public Administration","usa","Woman","White","25-34","College degree","10-","10-",90,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",73.7,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Health care","canada","Woman","Other","25-34","Professional degree","10-","10-",49.12,30,"Young",5,5,6,"High","Not White","Woman","Not USA","Woman"
"Education","canada","Woman","White","25-34","College degree","10-","10-",52,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Other","White","25-34","College degree","10-","10-",203,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Science","usa","Woman","Black","45-54","College degree","31+","21-30",104,50,"Old",35,25,3,"Medium","Not White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","Black","45-54","College degree","21-30","21-30",146.3,50,"Old",25,25,3,"Medium","Not White","Woman","USA","Woman"
"Social Work","usa","Woman","White","35-44","PhD","10-","10-",36,40,"Middle",5,5,5,"High","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","White","35-44","College degree","11-20","11-20",72.584,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","uk","Woman","White","25-34","College degree","10-","10-",51.43,30,"Young",5,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","PhD","11-20","11-20",95,40,"Middle",15,15,5,"High","White","Woman","USA","Woman"
"Computing or Tech","canada","Man","White","25-34","Master's degree","10-","10-",54.4,30,"Young",5,5,4,"High","White","Not Woman","Not USA","Not Woman"
"Computing or Tech","usa","Woman","Asian ","24-","College degree","10-","10-",121,20,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Libraries and Museums","usa","Woman","White","35-44","Master's degree","11-20","10-",62,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","Black","25-34","College degree","10-","10-",110,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Health care","usa","Woman","White","25-34","College degree","10-","10-",32.24,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","College degree","10-","10-",108,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","35-44","PhD","11-20","11-20",84.5,40,"Middle",15,15,5,"High","White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","25-34","Master's degree","10-","10-",58.493,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","55+","College degree","31+","11-20",71.5,60,"Old",35,15,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",209,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","11-20","11-20",104,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Entertainment","usa","Man","White","25-34","College degree","10-","10-",130,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Retail","usa","Woman","White","25-34","College degree","10-","10-",61.206,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","55+","Some college","21-30","10-",47,60,"Old",25,5,2,"Low","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",73,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","PhD","10-","10-",156.843,40,"Middle",5,5,5,"High","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","canada","Woman","White","25-34","Professional degree","10-","10-",66,30,"Young",5,5,6,"High","White","Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",85,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Master's degree","10-","10-",91.3,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","High School","11-20","10-",85,40,"Middle",15,5,1,"Low","White","Woman","USA","Not Woman"
"Science","usa","Woman","Asian ","25-34","College degree","10-","10-",105.19,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Education","canada","Woman","White","35-44","PhD","11-20","11-20",36,40,"Middle",15,15,5,"High","White","Woman","Not USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","College degree","11-20","11-20",97,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",85.75,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","Some college","10-","10-",63.5,30,"Young",5,5,2,"Low","White","Woman","USA","Woman"
"Science","usa","Woman","White","25-34","Master's degree","10-","10-",69,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","25-34","Master's degree","10-","10-",27,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","25-34","College degree","10-","10-",39.82,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","10-","10-",85,40,"Middle",5,5,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","canada","Woman","White","35-44","Some college","11-20","11-20",72,40,"Middle",15,15,2,"Low","White","Woman","Not USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",100,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","Asian ","25-34","College degree","11-20","11-20",285,30,"Young",15,15,3,"Medium","Not White","Woman","USA","Woman"
"Health care","usa","Woman","White","55+","Professional degree","21-30","21-30",255,60,"Old",25,25,6,"High","White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","College degree","11-20","11-20",88.5,30,"Young",15,15,3,"Medium","White","Woman","USA","Woman"
"Media & Digital","usa","Woman","Other","25-34","College degree","10-","10-",60,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","College degree","11-20","10-",120,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Science","usa","Woman","White","25-34","Master's degree","11-20","10-",43,30,"Young",15,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",69,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","55+","PhD","21-30","10-",208,60,"Old",25,5,5,"High","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","Hispanic","35-44","Master's degree","11-20","11-20",113,40,"Middle",15,15,4,"High","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Some college","11-20","11-20",67,40,"Middle",15,15,2,"Low","White","Woman","USA","Not Woman"
"Education","usa","Woman","Black","35-44","College degree","21-30","11-20",76.052,40,"Middle",25,15,3,"Medium","Not White","Woman","USA","Woman"
"Insurance","usa","Woman","White","35-44","College degree","11-20","10-",83,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Social Work","uk","Woman","White","35-44","High School","21-30","11-20",45.87,40,"Middle",25,15,1,"Low","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","Some college","21-30","11-20",27,40,"Middle",25,15,2,"Low","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",65,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Master's degree","10-","10-",58,40,"Middle",5,5,4,"High","White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","Master's degree","11-20","10-",82.5,40,"Middle",15,5,4,"High","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","35-44","College degree","11-20","10-",45,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
"Retail","usa","Woman","White","24-","College degree","10-","10-",91.8,20,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Social Work","usa","Woman","White","35-44","College degree","10-","10-",36.088,40,"Middle",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Other","White","25-34","Master's degree","10-","10-",56.35,30,"Young",5,5,4,"High","White","Not Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",65,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","25-34","Some college","10-","10-",36,30,"Young",5,5,2,"Low","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Man","White","35-44","College degree","11-20","11-20",113,40,"Middle",15,15,3,"Medium","White","Not Woman","USA","Not Woman"
"Law","usa","Woman","White","25-34","Professional degree","10-","10-",300,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Some college","21-30","11-20",130,40,"Middle",25,15,2,"Low","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","Master's degree","10-","10-",110,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",158,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Science","usa","Woman","White","25-34","PhD","10-","10-",67,30,"Young",5,5,5,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","High School","10-","10-",43,40,"Middle",5,5,1,"Low","White","Woman","USA","Not Woman"
"Health care","usa","Woman","Other","25-34","College degree","10-","10-",80,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Social Work","usa","Woman","White","45-54","College degree","10-","10-",91.5,50,"Old",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","canada","Woman","White","35-44","College degree","11-20","11-20",76.8,40,"Middle",15,15,3,"Medium","White","Woman","Not USA","Not Woman"
"Business or Consulting","canada","Woman","White","25-34","College degree","11-20","10-",101.0304,30,"Young",15,5,3,"Medium","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",71,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Law","usa","Woman","White","25-34","Professional degree","10-","10-",130,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Man","White","35-44","College degree","21-30","21-30",110,40,"Middle",25,25,3,"Medium","White","Not Woman","USA","Not Woman"
"Computing or Tech","usa","Man","White","55+","Master's degree","31+","21-30",130,60,"Old",35,25,4,"High","White","Not Woman","USA","Not Woman"
"Insurance","usa","Woman","White","45-54","Master's degree","31+","10-",82.83,50,"Old",35,5,4,"High","White","Woman","USA","Woman"
"Science","usa","Woman","White","35-44","Master's degree","10-","10-",37,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","25-34","College degree","10-","10-",66,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Recruitment or HR","usa","Woman","Black","55+","College degree","21-30","11-20",49,60,"Old",25,15,3,"Medium","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",60.5,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Science","usa","Woman","Asian ","25-34","PhD","11-20","10-",108,30,"Young",15,5,5,"High","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",80,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","45-54","High School","21-30","10-",125,50,"Old",25,5,1,"Low","White","Woman","USA","Not Woman"
"Social Work","uk","Woman","White","45-54","Some college","21-30","21-30",69.5,50,"Old",25,25,2,"Low","White","Woman","Not USA","Woman"
"Science","usa","Woman","Asian ","25-34","College degree","10-","10-",30.5,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Woman"
"Marketing, Advertising & PR","usa","Woman","White","55+","College degree","31+","31+",80,60,"Old",35,35,3,"Medium","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","Master's degree","10-","10-",62,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Law","usa","Woman","White","35-44","Professional degree","11-20","11-20",120,40,"Middle",15,15,6,"High","White","Woman","USA","Woman"
"Law","usa","Woman","White","45-54","College degree","31+","31+",45,50,"Old",35,35,3,"Medium","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","College degree","11-20","11-20",220.864,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","45-54","Master's degree","21-30","21-30",125,50,"Old",25,25,4,"High","White","Woman","USA","Not Woman"
"Science","usa","Woman","Black","35-44","Master's degree","11-20","10-",190,40,"Middle",15,5,4,"High","Not White","Woman","USA","Woman"
"Leisure, Sport & Tourism","usa","Man","White","45-54","Some college","31+","10-",34,50,"Old",35,5,2,"Low","White","Not Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",137.5,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Social Work","usa","Woman","White","45-54","College degree","21-30","10-",52,50,"Old",25,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","usa","Man","White","25-34","College degree","10-","10-",79,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Not Woman"
"Sales","usa","Woman","White","25-34","College degree","10-","10-",85,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Entertainment","canada","Woman","White","35-44","Master's degree","11-20","10-",56,40,"Middle",15,5,4,"High","White","Woman","Not USA","Not Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",64,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","Asian ","35-44","Master's degree","11-20","10-",66.9,40,"Middle",15,5,4,"High","Not White","Woman","USA","Not Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","Master's degree","11-20","11-20",150,40,"Middle",15,15,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","canada","Woman","White","25-34","College degree","11-20","10-",40,30,"Young",15,5,3,"Medium","White","Woman","Not USA","Not Woman"
"Business or Consulting","usa","Other","Other","35-44","College degree","11-20","10-",57,40,"Middle",15,5,3,"Medium","Not White","Not Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","25-34","Master's degree","10-","10-",65,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","25-34","Master's degree","10-","10-",85.591,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","24-","College degree","10-","10-",38.44,20,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","21-30","21-30",83,40,"Middle",25,25,3,"Medium","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","35-44","College degree","21-30","11-20",142,40,"Middle",25,15,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","45-54","Master's degree","21-30","21-30",147,50,"Old",25,25,4,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","25-34","College degree","10-","10-",40.5,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","21-30","11-20",150,40,"Middle",25,15,4,"High","White","Woman","USA","Woman"
"Education","uk","Man","Other","45-54","College degree","21-30","10-",40.31,50,"Old",25,5,3,"Medium","Not White","Not Woman","Not USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",55,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","25-34","Master's degree","10-","10-",34.216,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Science","usa","Woman","White","25-34","College degree","10-","10-",72.7,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",87.1,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","45-54","College degree","21-30","10-",134,50,"Old",25,5,3,"Medium","White","Woman","USA","Not Woman"
"Health care","usa","Woman","White","35-44","College degree","11-20","11-20",126.783,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","Black","35-44","Professional degree","11-20","11-20",172,40,"Middle",15,15,6,"High","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","45-54","Some college","31+","21-30",98.6,50,"Old",35,25,2,"Low","White","Woman","USA","Not Woman"
"Social Work","usa","Woman","Hispanic","35-44","Master's degree","11-20","11-20",53.6,40,"Middle",15,15,4,"High","Not White","Woman","USA","Woman"
"Health care","usa","Woman","Asian ","35-44","Master's degree","11-20","11-20",67,40,"Middle",15,15,4,"High","Not White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","11-20","11-20",52.05,30,"Young",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Science","usa","Woman","White","25-34","Master's degree","10-","10-",61.5,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Computing or Tech","uk","Woman","White","35-44","PhD","11-20","10-",31.97,40,"Middle",15,5,5,"High","White","Woman","Not USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","10-","10-",52,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Leisure, Sport & Tourism","usa","Woman","Asian ","25-34","College degree","10-","10-",27.075,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Law","usa","Woman","White","25-34","Professional degree","10-","10-",50,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Man","White","55+","College degree","31+","31+",132,60,"Old",35,35,3,"Medium","White","Not Woman","USA","Not Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","Master's degree","10-","10-",47,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","35-44","Master's degree","21-30","11-20",69.665,40,"Middle",25,15,4,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","College degree","10-","10-",125,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","11-20","11-20",60,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","35-44","Master's degree","21-30","10-",29,40,"Middle",25,5,4,"High","White","Woman","USA","Woman"
"Government and Public Administration","usa","Woman","White","35-44","Master's degree","11-20","11-20",99.5,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","35-44","Master's degree","11-20","10-",52,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","Professional degree","10-","10-",329,40,"Middle",5,5,6,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","35-44","College degree","11-20","11-20",89,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","11-20",31.2,40,"Middle",15,15,3,"Medium","White","Woman","USA","Not Woman"
"Media & Digital","usa","Woman","White","24-","College degree","10-","10-",45,20,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Man","White","25-34","Master's degree","10-","10-",56.16,30,"Young",5,5,4,"High","White","Not Woman","USA","Woman"
"Law","usa","Woman","White","25-34","College degree","11-20","10-",40,30,"Young",15,5,3,"Medium","White","Woman","USA","Woman"
"Law","usa","Woman","White","35-44","Professional degree","10-","10-",127,40,"Middle",5,5,6,"High","White","Woman","USA","Woman"
"Science","uk","Woman","White","45-54","PhD","11-20","11-20",90.35,50,"Old",15,15,5,"High","White","Woman","Not USA","Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",67,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Man","White","25-34","College degree","10-","10-",137,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Health care","usa","Woman","White","45-54","Professional degree","21-30","21-30",195,50,"Old",25,25,6,"High","White","Woman","USA","Woman"
"Social Work","usa","Man","White","45-54","College degree","21-30","11-20",126.282,50,"Old",25,15,3,"Medium","White","Not Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","35-44","College degree","10-","10-",47.1,40,"Middle",5,5,3,"Medium","White","Woman","USA","Woman"
"Social Work","usa","Woman","White","45-54","High School","21-30","21-30",77,50,"Old",25,25,1,"Low","White","Woman","USA","Woman"
"Hospitality & Events","usa","Woman","White","25-34","College degree","10-","10-",113,30,"Young",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Accounting, Banking & Finance","uk","Woman","White","35-44","College degree","11-20","10-",38.92,40,"Middle",15,5,3,"Medium","White","Woman","Not USA","Woman"
"Engineering or Manufacturing","usa","Woman","White","45-54","College degree","21-30","10-",78,50,"Old",25,5,3,"Medium","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","Some college","11-20","10-",135,40,"Middle",15,5,2,"Low","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","45-54","College degree","10-","10-",66,50,"Old",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","Master's degree","11-20","10-",156,30,"Young",15,5,4,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","25-34","Master's degree","10-","10-",72,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","Professional degree","10-","10-",84,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Computing or Tech","canada","Woman","White","35-44","Master's degree","10-","10-",92,40,"Middle",5,5,4,"High","White","Woman","Not USA","Not Woman"
"Social Work","usa","Woman","White","25-34","College degree","10-","10-",68.5,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Art & Design","usa","Woman","White","35-44","College degree","11-20","11-20",27.5,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Science","usa","Woman","White","45-54","College degree","11-20","10-",45,50,"Old",15,5,3,"Medium","White","Woman","USA","Woman"
"Sales","usa","Woman","Asian ","25-34","College degree","10-","10-",58.05,30,"Young",5,5,3,"Medium","Not White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","25-34","Master's degree","10-","10-",35,30,"Young",5,5,4,"High","White","Woman","USA","Not Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","10-","10-",65,40,"Middle",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Marketing, Advertising & PR","usa","Woman","White","35-44","Master's degree","11-20","10-",64.5,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Social Work","usa","Woman","Hispanic","35-44","Master's degree","11-20","11-20",68,40,"Middle",15,15,4,"High","Not White","Woman","USA","Woman"
"Accounting, Banking & Finance","usa","Woman","White","25-34","Professional degree","10-","10-",87,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","45-54","PhD","21-30","11-20",174,50,"Old",25,15,5,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","Asian ","35-44","Master's degree","11-20","11-20",78,40,"Middle",15,15,4,"High","Not White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","10-",96,40,"Middle",15,5,4,"High","White","Woman","USA","Woman"
"Leisure, Sport & Tourism","usa","Woman","White","45-54","Master's degree","21-30","11-20",72,50,"Old",25,15,4,"High","White","Woman","USA","Not Woman"
"Business or Consulting","usa","Man","White","25-34","College degree","10-","10-",142,30,"Young",5,5,3,"Medium","White","Not Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","10-","10-",70.36,40,"Middle",5,5,4,"High","White","Woman","USA","Woman"
"Engineering or Manufacturing","usa","Man","White","35-44","Master's degree","11-20","11-20",225,40,"Middle",15,15,4,"High","White","Not Woman","USA","Not Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",158,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Computing or Tech","uk","Woman","White","35-44","College degree","21-30","11-20",69.5,40,"Middle",25,15,3,"Medium","White","Woman","Not USA","Not Woman"
"Retail","usa","Woman","White","45-54","College degree","31+","10-",52,50,"Old",35,5,3,"Medium","White","Woman","USA","Not Woman"
"Government and Public Administration","usa","Woman","White","35-44","Professional degree","10-","10-",112,40,"Middle",5,5,6,"High","White","Woman","USA","Woman"
"Education","usa","Woman","White","25-34","Master's degree","10-","10-",40,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","45-54","Master's degree","21-30","21-30",185,50,"Old",25,25,4,"High","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","Hispanic","25-34","Master's degree","10-","10-",42,30,"Young",5,5,4,"High","Not White","Woman","USA","Woman"
"Libraries and Museums","usa","Woman","White","25-34","College degree","10-","10-",38.48,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","Master's degree","11-20","11-20",64.5,40,"Middle",15,15,4,"High","White","Woman","USA","Woman"
"Law","usa","Woman","White","25-34","Professional degree","10-","10-",50,30,"Young",5,5,6,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","10-","10-",38,40,"Middle",5,5,3,"Medium","White","Woman","USA","Not Woman"
"Child Care","usa","Woman","White","25-34","High School","10-","10-",28,30,"Young",5,5,1,"Low","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","35-44","College degree","11-20","11-20",40,40,"Middle",15,15,3,"Medium","White","Woman","USA","Woman"
"Business or Consulting","usa","Woman","White","25-34","College degree","10-","10-",54,30,"Young",5,5,3,"Medium","White","Woman","USA","Woman"
"Government and Public Administration","usa","Woman","White","25-34","Some college","10-","10-",70,30,"Young",5,5,2,"Low","White","Woman","USA","Woman"
"Health care","usa","Woman","White","35-44","PhD","10-","10-",96,40,"Middle",5,5,5,"High","White","Woman","USA","Woman"
"Computing or Tech","usa","Woman","White","35-44","College degree","11-20","10-",61,40,"Middle",15,5,3,"Medium","White","Woman","USA","Not Woman"
"Education","usa","Woman","White","25-34","Master's degree","10-","10-",33,30,"Young",5,5,4,"High","White","Woman","USA","Woman"
"Insurance","usa","Woman","White","35-44","College degree","11-20","10-",88,40,"Middle",15,5,3,"Medium","White","Woman","USA","Woman"
